datetime,AHU,CHW_VALVE,CHW_VALVE_POSIT,DIS_AIR_TEMP,DUCT_PRESS_ACTV,MAX_CO2_VAL,MIXED_AIR_TEMP,RTRN_AIR_TEMP,SUPPL_FAN_SP
07Nov2014 4:59:00,AHU_5_1,0,1.9623,73.8902,0,630.9786,73.8902,73.0801,0
07Nov2014 5:04:00,AHU_5_1,0,1.9623,73.8902,0,635.8612,73.9982,73.1701,0
07Nov2014 5:09:00,AHU_5_1,0,2.0057,73.8902,0,625.4855,73.9982,73.0801,0
07Nov2014 5:14:00,AHU_5_1,0,1.9623,73.8902,0,629.1476,73.9982,72.9721,0
07Nov2014 5:19:00,AHU_5_1,0,2.0057,73.8902,0,641.9647,74.0882,72.9721,0
07Nov2014 5:24:00,AHU_5_1,0,2.0057,73.8902,0,681.6374,74.0882,72.9721,0
07Nov2014 5:29:00,AHU_5_1,0,2.0057,73.9982,0,648.6786,74.1782,72.9721,0
07Nov2014 5:34:00,AHU_5_1,0,2.0491,73.9982,0,645.0165,74.2682,72.9721,0
07Nov2014 5:39:00,AHU_5_1,0,2.0925,73.9982,0,642.5751,74.1782,72.9721,0
07Nov2014 5:44:00,AHU_5_1,0,1.9623,73.9982,0,662.7167,74.3582,72.9721,0
07Nov2014 5:49:00,AHU_5_1,0,2.0491,73.9982,0,643.1854,74.4482,72.9721,0
07Nov2014 5:54:00,AHU_5_1,0,2.0057,74.0882,0,639.5233,74.4482,72.9721,0
07Nov2014 5:59:00,AHU_5_1,0,2.0491,74.0882,0,630.9786,74.4482,72.8821,0
07Nov2014 6:04:00,AHU_5_1,0,2.0057,74.0882,0,635.8612,74.4482,72.7921,0
07Nov2014 6:09:00,AHU_5_1,59.02,41.3854,75.0963,0.3974,649.8993,74.1782,72.252,1.645
07Nov2014 6:14:00,AHU_5_1,0,2.2228,57.6346,0.4376,619.382,70.5058,72.072,4.27
07Nov2014 6:19:00,AHU_5_1,6.405,7.5631,63.9172,0.4496,638.913,68.3096,71.964,4.48
07Nov2014 6:24:00,AHU_5_1,27,26.5366,66.3834,0.4536,610.837,66.2934,71.874,4.48
07Nov2014 6:29:00,AHU_5_1,13.065,12.5561,64.2052,0.4577,580.9299,66.1134,71.784,4.48
07Nov2014 6:34:00,AHU_5_1,11.73,11.4273,64.7453,0.4577,573.6057,65.9334,71.784,4.48
07Nov2014 6:39:00,AHU_5_1,18.29,17.8965,65.6634,0.4577,578.4885,65.6634,71.604,4.48
07Nov2014 6:44:00,AHU_5_1,18.29,17.9399,65.3933,0.4577,583.3713,65.1953,71.604,4.48
07Nov2014 6:49:00,AHU_5_1,18.29,17.8965,65.1953,0.4617,568.7229,65.0153,71.604,4.48
07Nov2014 6:54:00,AHU_5_1,18.29,17.9833,65.0153,0.4657,599.8507,64.6553,71.604,4.48
07Nov2014 6:59:00,AHU_5_1,18.29,17.9399,64.7453,0.4657,604.1232,64.9253,71.604,4.48
07Nov2014 7:04:00,AHU_5_1,18.29,17.9399,65.0153,0.4617,588.8644,65.6634,71.604,4.48
07Nov2014 7:09:00,AHU_5_1,24.725,25.6248,65.5734,0.4617,584.592,66.0234,71.604,4.48
07Nov2014 7:14:00,AHU_5_1,17.935,16.3769,64.7453,0.4617,627.3165,66.2034,71.604,4.48
07Nov2014 7:19:00,AHU_5_1,13.26,14.1192,64.6553,0.4657,634.0304,66.3834,71.604,4.48
07Nov2014 7:24:00,AHU_5_1,24.875,25.4511,65.7534,0.4617,618.1612,66.5635,71.604,4.48
07Nov2014 7:29:00,AHU_5_1,15.195,14.1626,64.5653,0.4657,618.7716,66.6715,71.604,4.48
07Nov2014 7:34:00,AHU_5_1,14.9,16.8545,64.8353,0.4536,629.7579,66.7615,71.694,4.48
07Nov2014 7:39:00,AHU_5_1,27.72,27.0142,66.0234,0.4536,642.5751,67.0315,71.604,4.48
07Nov2014 7:44:00,AHU_5_1,13.25,14.2494,63.8272,0.4536,641.9647,67.1215,71.604,4.48
07Nov2014 7:49:00,AHU_5_1,23.715,26.2761,65.5734,0.4536,652.9511,67.2115,71.694,4.48
07Nov2014 7:54:00,AHU_5_1,16.99,14.7704,64.8353,0.4536,627.9269,67.3015,71.604,4.48
07Nov2014 7:59:00,AHU_5_1,16.795,18.9819,64.8353,0.4536,647.4579,67.4815,71.694,4.48
07Nov2014 8:04:00,AHU_5_1,29.06,25.7985,66.2934,0.4496,718.2585,67.4815,71.604,4.48
07Nov2014 8:09:00,AHU_5_1,12.515,12.0785,63.3771,0.4536,626.0958,67.5716,71.694,4.48
07Nov2014 8:14:00,AHU_5_1,29.69,29.0548,66.2034,0.4536,598.0196,67.6616,71.694,4.48
07Nov2014 8:19:00,AHU_5_1,12.545,12.5127,63.6472,0.4496,598.63,67.7516,71.694,4.48
07Nov2014 8:24:00,AHU_5_1,24.44,27.3615,65.6634,0.4536,591.9161,67.8596,71.784,4.48
07Nov2014 8:29:00,AHU_5_1,15.84,11.8615,64.6553,0.4536,618.1612,67.9496,71.784,4.48
07Nov2014 8:34:00,AHU_5_1,18.125,21.587,65.1053,0.4536,623.6544,68.0396,71.784,4.48
07Nov2014 8:39:00,AHU_5_1,28.75,22.7593,66.4734,0.4536,638.3026,68.0396,71.784,4.48
07Nov2014 8:44:00,AHU_5_1,14.965,17.8965,63.4671,0.4536,658.4442,68.1296,71.784,4.48
07Nov2014 8:49:00,AHU_5_1,30.055,26.7537,66.5635,0.4496,620.6027,68.2196,71.784,4.48
07Nov2014 8:54:00,AHU_5_1,13.425,14.2494,63.4671,0.4496,667.5995,68.3096,71.784,4.48
07Nov2014 8:59:00,AHU_5_1,30.92,30.6612,66.5635,0.4577,654.7821,68.3996,71.874,4.74
07Nov2014 9:04:00,AHU_5_1,16.09,16.4203,63.6472,0.4536,689.572,68.4896,71.964,4.74
07Nov2014 9:09:00,AHU_5_1,30.965,31.1388,66.2034,0.4536,912.9602,68.4896,71.964,4.74
07Nov2014 9:14:00,AHU_5_1,15.325,15.2046,63.5572,0.4536,803.0973,68.5797,71.964,4.74
07Nov2014 9:19:00,AHU_5_1,32.185,32.2243,66.3834,0.4577,724.3621,68.6697,71.964,4.74
07Nov2014 9:24:00,AHU_5_1,39.57,40.7775,63.5572,0.4536,735.3484,68.8497,72.072,4.74
07Nov2014 9:29:00,AHU_5_1,14.68,15.8993,60.6409,0.4577,749.9968,69.0477,72.072,4.74
07Nov2014 9:34:00,AHU_5_1,40.475,47.5072,63.5572,0.4536,747.5554,69.3177,72.252,4.74
07Nov2014 9:39:00,AHU_5_1,39.945,37.3041,59.0927,0.4577,759.7624,69.9478,72.162,4.74
07Nov2014 9:44:00,AHU_5_1,13.16,20.6318,57.5446,0.4536,777.4625,69.2277,72.252,4.74
07Nov2014 9:49:00,AHU_5_1,68.825,66.2636,63.1971,0.4657,761.5935,69.2277,72.162,5.16
07Nov2014 9:54:00,AHU_5_1,23.28,24.6262,52.5581,0.4657,803.7076,69.4077,72.162,5.16
07Nov2014 9:59:00,AHU_5_1,53.465,52.6739,58.5527,0.4617,881.8323,69.8578,72.162,5.16
07Nov2014 10:04:00,AHU_5_1,37.225,38.8237,54.7363,0.4657,839.1079,69.4978,72.162,5.16
07Nov2014 10:09:00,AHU_5_1,49.665,35.3937,56.3744,0.4577,927.6086,69.0477,72.252,5.16
07Nov2014 10:14:00,AHU_5_1,34.265,37.2607,58.0126,0.4536,890.9876,69.3177,72.342,5.16
07Nov2014 10:19:00,AHU_5_1,43.56,41.4722,60.3708,0.4577,881.2219,69.3177,72.342,5.595
07Nov2014 10:24:00,AHU_5_1,53.71,60.3154,57.6346,0.4577,923.3362,69.4978,72.342,5.595
07Nov2014 10:29:00,AHU_5_1,60.26,56.5815,57.6346,0.4577,888.5461,69.4077,72.252,5.595
07Nov2014 10:34:00,AHU_5_1,24.59,25.2775,53.4761,0.4617,910.5188,69.1377,72.342,5.595
07Nov2014 10:39:00,AHU_5_1,50.215,49.5478,57.4545,0.4536,933.7122,68.8497,72.342,5.595
07Nov2014 10:44:00,AHU_5_1,34.71,35.3503,54.7363,0.4617,952.6331,69.1377,72.342,5.595
07Nov2014 10:49:00,AHU_5_1,28.2,28.7075,57.2745,0.4536,968.5021,69.4077,72.432,5.595
07Nov2014 10:54:00,AHU_5_1,46.84,46.7691,60.1908,0.4456,970.9435,69.3177,72.432,5.805
07Nov2014 10:59:00,AHU_5_1,28.745,11.0365,58.1026,0.4496,979.4884,69.2277,72.432,6.015
07Nov2014 11:04:00,AHU_5_1,24.925,32.5282,61.1989,0.4536,961.7882,69.3177,72.432,6.905
07Nov2014 11:09:00,AHU_5_1,41.14,37.1739,63.8272,0.4496,1009.396,69.4978,72.5221,7.745
