seq_id,datetime,AHU,CHW_VALVE,CHW_VALVE_POSIT,DIS_AIR_TEMP,DUCT_PRESS_ACTV,MAX_CO2_VAL,MIXED_AIR_TEMP,RTRN_AIR_TEMP,SUPPL_FAN_SP
22601,08JAN15:20:00:00,AHU_5_1,0,2.0057,66.2934,0,700.5584,65.1953,71.604,0
22602,08JAN15:20:15:00,AHU_5_1,0,1.9623,66.9415,0,671.2616,65.3933,71.604,0
22603,08JAN15:20:30:00,AHU_5_1,0,1.9623,67.4815,0,657.2235,65.5734,71.604,0
22604,08JAN15:20:45:00,AHU_5_1,0,1.9623,67.9496,0,674.9237,65.5734,71.5139,0
22605,08JAN15:21:00:00,AHU_5_1,0,2.1359,68.3996,0,676.7548,65.8434,71.5139,0
22606,08JAN15:21:15:00,AHU_5_1,0,2.0057,68.8497,0,662.7167,66.1134,71.604,0
22607,08JAN15:21:30:00,AHU_5_1,0,2.0057,69.2277,0,683.4685,66.2934,71.5139,0
22608,08JAN15:21:45:00,AHU_5_1,0,2.0057,69.5878,0,648.6786,66.5635,71.5139,0
22609,08JAN15:22:00:00,AHU_5_1,0,1.9623,69.8578,0,651.7304,66.8515,71.5139,0
22610,08JAN15:22:15:00,AHU_5_1,0,1.9623,70.1458,0,637.6923,67.0315,71.5139,0
22611,08JAN15:22:30:00,AHU_5_1,0,1.9623,70.4159,0,634.6405,67.3015,71.604,0
22612,08JAN15:22:45:00,AHU_5_1,0,1.9623,70.6859,0,636.4716,67.5716,71.694,0
22613,08JAN15:23:00:00,AHU_5_1,0,1.9623,70.9559,0,624.8751,67.8596,71.694,0
22614,08JAN15:23:15:00,AHU_5_1,0,1.9623,71.0639,0,615.1095,68.1296,71.694,0
22615,08JAN15:23:30:00,AHU_5_1,0,2.0057,71.3339,0,657.8339,68.3996,71.694,0
22616,08JAN15:23:45:00,AHU_5_1,0,1.9623,71.5139,0,663.9374,68.6697,71.694,0
22617,09JAN15:00:00:00,AHU_5_1,0,2.0925,71.604,0,641.9647,69.0477,71.694,0
22618,09JAN15:00:15:00,AHU_5_1,0,1.9623,71.784,0,666.3788,69.3177,71.784,0
22619,09JAN15:00:30:00,AHU_5_1,0,2.0057,71.964,0,635.8612,69.4978,71.784,0
22620,09JAN15:00:45:00,AHU_5_1,0,1.9623,72.162,0,637.0819,69.7678,71.784,0
22621,09JAN15:01:00:00,AHU_5_1,0,1.9623,72.342,0,645.6268,70.0558,71.784,0
22622,09JAN15:01:15:00,AHU_5_1,0,1.9188,72.432,0,633.42,70.3258,71.784,0
22623,09JAN15:01:30:00,AHU_5_1,0,2.0057,72.6121,0,637.6923,70.5959,71.874,0
22624,09JAN15:01:45:00,AHU_5_1,0,2.0057,72.7921,0,627.9269,70.7759,71.784,0
22625,09JAN15:02:00:00,AHU_5_1,0,2.0057,72.8821,0,637.6923,71.0639,71.784,0
22626,09JAN15:02:15:00,AHU_5_1,0,2.0057,72.9721,0,626.0958,71.2439,71.874,0
22627,09JAN15:02:30:00,AHU_5_1,0,1.9623,73.0801,0,632.8097,71.4239,71.784,0
22628,09JAN15:02:45:00,AHU_5_1,0,1.9623,73.1701,0,635.8612,71.784,71.784,0
22629,09JAN15:03:00:00,AHU_5_1,0,1.9623,73.3501,0,630.9786,71.964,71.784,0
22630,09JAN15:03:15:00,AHU_5_1,0,2.0057,73.3501,0,629.1476,72.162,71.784,0
22631,09JAN15:03:30:00,AHU_5_1,0,1.9623,73.4402,0,630.3683,72.342,71.694,0
22632,09JAN15:03:45:00,AHU_5_1,0,1.9623,73.4402,0,618.7716,72.6121,71.694,0
22633,09JAN15:04:00:00,AHU_5_1,0,1.9188,73.5302,0,614.4991,72.7921,71.694,0
22634,09JAN15:04:15:00,AHU_5_1,43.13,1.9623,73.3501,0.5259,604.1232,72.9721,70.9559,8.735
22635,09JAN15:04:30:00,AHU_5_1,45.365,52.37,58.7327,0.7547,605.9542,73.8902,71.3339,16.295
22636,09JAN15:04:45:00,AHU_5_1,27.07,33.3097,59.0027,0.7547,637.6923,74.3582,71.784,16.295
22637,09JAN15:05:00:00,AHU_5_1,43.225,31.9638,62.099,0.7587,593.7472,74.5383,72.162,16.295
22638,09JAN15:05:15:00,AHU_5_1,37.67,50.3294,59.0027,0.7868,591.9161,74.8083,72.342,16.295
22639,09JAN15:05:30:00,AHU_5_1,45.285,32.4413,61.3789,0.7949,587.0335,72.7921,72.162,16.295
22640,09JAN15:05:45:00,AHU_5_1,27.075,40.8644,58.6427,0.7989,607.1749,72.162,72.342,16.295
22641,09JAN15:06:00:00,AHU_5_1,45.96,28.9679,62.099,0.7989,598.63,71.5139,72.6121,16.295
22642,09JAN15:06:15:00,AHU_5_1,30.675,46.7691,58.2826,0.7989,577.8782,72.252,73.0801,16.295
22643,09JAN15:06:30:00,AHU_5_1,38.92,27.101,62.099,0.7828,1045.406,72.342,73.3501,16.295
22644,09JAN15:06:45:00,AHU_5_1,40.99,46.4218,58.8227,0.7949,801.8766,71.694,73.5302,16.295
22645,09JAN15:07:00:00,AHU_5_1,29.87,26.5366,60.6409,0.8069,895.26,71.604,73.6202,16.295
22646,09JAN15:07:15:00,AHU_5_1,47.345,46.031,59.6508,0.7949,793.942,71.784,73.6202,16.295
22647,09JAN15:07:30:00,AHU_5_1,28.045,29.2284,59.8308,0.8069,811.0319,71.694,73.7102,16.295
22648,09JAN15:07:45:00,AHU_5_1,48.09,42.7747,60.2808,0.7989,654.7821,72.342,73.8902,16.295
22649,09JAN15:08:00:00,AHU_5_1,26.305,33.0492,59.2727,0.8069,538.8157,72.162,73.9982,16.295
22650,09JAN15:08:15:00,AHU_5_1,45.885,35.7411,61.1989,0.8029,517.4534,71.874,73.8902,16.295
22651,09JAN15:08:30:00,AHU_5_1,27.08,42.4274,58.3726,0.8069,522.9466,71.604,73.7102,16.295
22652,09JAN15:08:45:00,AHU_5_1,42.725,27.5786,62.099,0.7868,574.8264,71.604,73.7102,16.295
22653,09JAN15:09:00:00,AHU_5_1,35.055,47.4204,58.1926,0.7989,601.6818,71.604,73.8902,16.295
22654,09JAN15:09:15:00,AHU_5_1,40.78,29.2284,61.649,0.7668,666.9891,71.784,74.0882,16.755
22655,09JAN15:09:30:00,AHU_5_1,33.85,46.7691,58.5527,0.7909,646.2372,72.162,73.5302,16.755
22656,09JAN15:09:45:00,AHU_5_1,38.48,29.7061,61.739,0.7748,690.1824,71.964,73.3501,16.96
22657,09JAN15:10:00:00,AHU_5_1,35.7,46.2915,58.7327,0.7909,693.2341,71.694,73.3501,16.96
22658,09JAN15:10:15:00,AHU_5_1,36.78,28.7075,61.2889,0.7949,729.2449,71.604,73.1701,16.96
22659,09JAN15:10:30:00,AHU_5_1,36.695,44.4246,58.7327,0.7868,715.8171,71.4239,73.1701,16.96
22660,09JAN15:10:45:00,AHU_5_1,40.92,30.4876,61.559,0.7828,769.5281,71.4239,73.1701,16.96
22661,09JAN15:11:00:00,AHU_5_1,34.995,48.2887,58.7327,0.7668,760.3728,71.4239,73.0801,17.605
22662,09JAN15:11:15:00,AHU_5_1,44.67,35.2201,61.0009,0.7587,778.0729,71.604,72.9721,17.81
22663,09JAN15:11:30:00,AHU_5_1,34.59,37.8251,59.5608,0.7507,787.2282,71.604,72.8821,17.81
22664,09JAN15:11:45:00,AHU_5_1,38.745,45.3798,59.3627,0.7708,784.7867,71.784,72.9721,17.81
22665,09JAN15:12:00:00,AHU_5_1,42.81,33.7005,61.1989,0.7628,798.8248,71.604,72.8821,18.015
22666,09JAN15:12:15:00,AHU_5_1,35.175,43.947,59.1827,0.7668,845.2114,71.604,72.9721,18.015
22667,09JAN15:12:30:00,AHU_5_1,40.51,44.0338,59.5608,0.7708,863.522,71.604,73.0801,18.015
22668,09JAN15:12:45:00,AHU_5_1,45.5,35.4372,61.0009,0.7708,854.3667,71.694,73.1701,18.475
22669,09JAN15:13:00:00,AHU_5_1,34.91,40.3433,59.4528,0.7708,832.394,71.874,73.2601,18.475
22670,09JAN15:13:15:00,AHU_5_1,40.5,45.1193,59.2727,0.7788,907.467,71.784,73.2601,18.885
22671,09JAN15:13:30:00,AHU_5_1,46.855,37.1739,60.7309,0.7587,950.1916,71.964,73.4402,18.885
22672,09JAN15:13:45:00,AHU_5_1,40.515,37.087,59.9208,0.7507,983.7609,72.072,73.4402,19.5
22673,09JAN15:14:00:00,AHU_5_1,38.23,45.5969,59.2727,0.7628,980.0987,72.162,73.4402,20.585
22674,09JAN15:14:15:00,AHU_5_1,40.375,49.0268,59.3627,0.7748,1074.703,72.342,73.3501,22.065
22675,09JAN15:14:30:00,AHU_5_1,46.235,41.7761,60.4609,0.7788,990.4747,72.072,73.5302,22.065
22676,09JAN15:14:45:00,AHU_5_1,46.785,46.031,59.6508,0.7788,1002.071,72.162,73.4402,22.065
22677,09JAN15:15:00:00,AHU_5_1,46.785,46.031,59.5608,0.7788,1038.082,71.964,73.3501,22.065
22678,09JAN15:15:15:00,AHU_5_1,40.03,42.4708,60.1008,0.7909,1045.406,71.604,73.2601,22.065
22679,09JAN15:15:30:00,AHU_5_1,40.03,41.3419,60.1008,0.7949,1028.316,71.2439,73.2601,22.065
22680,09JAN15:15:45:00,AHU_5_1,40.03,41.3419,59.9208,0.8029,937.9846,70.7759,73.2601,22.065
22681,09JAN15:16:00:00,AHU_5_1,36.325,41.3854,59.5608,0.835,790.2799,70.5058,73.2601,22.065
22682,09JAN15:16:15:00,AHU_5_1,41.805,39.0408,60.1008,0.847,778.0729,70.2358,73.2601,21.61
22683,09JAN15:16:30:00,AHU_5_1,38.27,34.5688,60.2808,0.843,760.9832,70.0558,73.2601,20.685
22684,09JAN15:16:45:00,AHU_5_1,32.725,43.2523,59.0927,0.843,778.0729,69.9478,73.2601,20.23
22685,09JAN15:17:00:00,AHU_5_1,40.235,42.1669,59.6508,0.835,756.7107,69.8578,73.2601,19.73
