datetime,AHU,CHW_VALVE,CHW_VALVE_POSIT,DIS_AIR_TEMP,DUCT_PRESS_ACTV,MAX_CO2_VAL,MIXED_AIR_TEMP,RTRN_AIR_TEMP,SUPPL_FAN_SP
21FEB15:13:48:00,AHU_5_1,0,1.9623,73.5302,0,523.557,73.0801,72.252,0
21FEB15:14:03:00,AHU_5_1,0,2.0491,73.6202,0,531.4915,73.2601,72.252,0
21FEB15:14:18:00,AHU_5_1,0,1.9623,73.8002,0,526.6086,73.5302,72.252,0
21FEB15:14:33:00,AHU_5_1,0,2.0057,73.8902,0,523.557,73.6202,72.252,0
21FEB15:14:48:00,AHU_5_1,0,1.9623,73.9982,0,516.8431,73.8002,72.252,0
21FEB15:15:03:00,AHU_5_1,0,1.9623,74.0882,0,557.7366,73.8902,72.162,0
21FEB15:15:18:00,AHU_5_1,0,1.9188,74.1782,0,515.6224,74.0882,72.252,0
21FEB15:15:33:00,AHU_5_1,0,2.0491,74.2682,0,513.7913,74.3582,72.252,0
21FEB15:15:48:00,AHU_5_1,0,1.9188,74.3582,0,503.4153,74.5383,72.162,0
21FEB15:16:03:00,AHU_5_1,0,2.0057,74.4482,0,510.1292,74.6283,72.162,0
21FEB15:16:18:00,AHU_5_1,0,1.9623,74.5383,0,505.2464,74.8083,72.162,0
21FEB15:16:33:00,AHU_5_1,0,1.9623,74.5383,0,522.3362,75.0063,72.072,0
21FEB15:16:48:00,AHU_5_1,0,1.9188,74.6283,0,515.012,75.0963,72.072,0
21FEB15:17:03:00,AHU_5_1,0,2.0491,74.6283,0,527.8293,75.2763,72.162,0
21FEB15:17:18:00,AHU_5_1,0,1.9623,74.7183,0,538.8157,75.4563,72.162,0
21FEB15:17:33:00,AHU_5_1,0,2.0057,74.8083,0,520.5052,75.4563,72.162,0
21FEB15:17:48:00,AHU_5_1,0,1.9623,74.8083,0,519.8948,75.7264,72.252,0
21FEB15:18:03:00,AHU_5_1,0,1.9623,74.8083,0,527.8293,75.8344,72.162,0
21FEB15:18:18:00,AHU_5_1,0,1.9623,74.8983,0,516.2327,76.0144,72.162,0
21FEB15:18:33:00,AHU_5_1,0,1.9188,74.8983,0,516.8431,76.0144,72.162,0
21FEB15:18:48:00,AHU_5_1,0,1.9623,74.8983,0,530.8811,76.1944,72.252,0
21FEB15:19:03:00,AHU_5_1,0,1.9623,75.0063,0,508.9085,76.2844,72.252,0
21FEB15:19:18:00,AHU_5_1,0,2.0057,75.0063,0,532.7122,76.3744,72.162,0
21FEB15:19:33:00,AHU_5_1,0,1.9623,75.0063,0,520.5052,76.5545,72.252,0
21FEB15:19:48:00,AHU_5_1,0,1.9623,75.0963,0,507.0774,76.5545,72.252,0
21FEB15:20:03:00,AHU_5_1,0,1.9623,75.1863,0,511.3499,76.8425,72.252,0
21FEB15:20:18:00,AHU_5_1,0,1.9623,75.1863,0,527.219,76.8425,72.162,0
